price,body,mileage,engV,engType,drive,car,,,,,registration,year,model
13900,1,139,2.4,4,2,14,,,,,yes,2008,Camry
22400,0,100,4.7,0,0,20,,,,,yes,2005,GX
81000,0,35,4.8,1,0,13,,,,,yes,2014,Cayenne
6200,4,340,2.4,0,1,1,,,,,yes,1998,E-Class
66900,0,70,3,2,0,5,,,,,yes,2014,X5
104999,0,2,3,2,0,5,,,,,yes,2016,X5
38600,4,12,1.8,1,1,1,,,,,yes,2012,E-Class
21850,0,64,2,1,0,2,,,,,yes,2013,X-Trail
37500,4,94,5.5,1,1,1,,,,,yes,2009,CL 55 A72
17000,5,20,NA,4,2,2,,,,,yes,2014,Leaf
39000,1,18,1.8,4,2,8,,,,,yes,2015,A5
44500,0,144,5.7,0,0,20,,,,,yes,2009,LX 570
24999,1,112,2.2,2,,1,,,,,yes,2012,C-Class
11300,5,87,1,1,2,14,,,,,yes,2009,IQ
25382.955,0,0,1.6,2,0,2,,,,,yes,2016,Qashqai
8100,1,135,1.8,1,2,18,,,,,yes,2008,Superb
23000,0,125,3,0,0,11,,,,,yes,2008,Pajero Wagon
14200,1,28,NA,4,2,2,,,,,yes,2014,Leaf
159600,1,0,NA,4,0,23,,,,,yes,2016,Model S
0,3,200,2.2,2,1,1,,,,,yes,2006,Vito пасс.
1950,3,210,1.8,0,2,8,,,,,no,1996,A4
33000,0,140,5,1,0,6,,,,,yes,2010,Range 48 Sport
0,0,65,3,2,0,8,,,,,yes,2013,A6
51500,0,93,3,2,0,6,,,,,yes,2013,Range 48 Sport
22700,5,24,1.4,1,2,18,,,,,yes,2014,Octavia A7
17500,5,62,NA,4,2,2,,,,,yes,2013,Leaf
11900,1,109,1.8,1,2,18,,,,,yes,2012,Octavia A5
0,0,200,4.8,1,0,13,,,,,yes,2007,Cayenne
28000,1,170,2,2,1,5,,,,,yes,2011,520
12900,3,116,2,1,0,24,,,,,yes,2008,Forester
16400,5,54,1.6,2,2,12,,,,,yes,2013,Ceed
24171.42,1,1,2.5,1,2,14,,,,,yes,2016,Camry
1950,1,320,19,4,,8,,,,,no,1996,A4
20300,1,198,1.8,0,1,1,,,,,yes,2011,E-Class
14000,0,171,99.99,1,0,24,,,,,yes,2010,Forester
9900,1,80,1.6,1,2,7,,,,,yes,2011,Polo
110000,0,0,3,2,0,1,,,,,yes,2016,GLS 350
16500,5,32,NA,4,2,2,,,,,yes,2013,Leaf
25500,1,140,2.8,1,2,8,,,,,yes,2012,A6
13300,4,132,1.5,2,,4,,,,,yes,2012,Megane
7000,2,345,1.9,2,2,7,,,,,yes,2006,T5 (Transporter) груз
3600,4,80,2,0,0,25,,,,,yes,2002,2121
12990,1,111,1.8,1,2,3,,,,,yes,2011,Civic
0,1,14,3.6,1,0,13,,,,,yes,2014,Panamera
147000,0,15,5,1,0,6,,,,,yes,2015,Range 48 Sport
11900,1,109,2.4,1,2,3,,,,,yes,2009,Accord
12199,3,149,2,2,2,7,,,,,yes,2008,Passat B6
5200,1,179,1.5,0,2,17,,,,,yes,2008,Aveo
10500,3,185,1.5,2,2,4,,,,,yes,2011,Megane
24800,1,43,2.5,0,2,14,,,,,yes,2015,Camry
13300,5,35,1.6,1,2,12,,,,,yes,2012,Ceed
2200,1,250,NA,2,2,8,,,,,no,2001,A6
2300,3,250,2.5,2,0,8,,,,,no,2001,A6
2350,3,250,NA,2,2,8,,,,,no,2001,A6
2500,1,180,NA,1,2,8,,,,,no,2000,A4
0,0,8,2,2,0,5,,,,,yes,2016,X5
6200,1,152,1.6,1,2,11,,,,,yes,2006,Lancer
18200,0,65,3.5,0,0,2,,,,,yes,2009,Murano
12500,1,63,1.6,1,2,0,,,,,yes,2013,Focus
117777,5,9,4.8,1,0,13,,,,,yes,2014,Panamera
8800,4,135,2.4,0,0,12,,,,,yes,2006,Sorento
69900,1,40,3,2,1,13,,,,,yes,2013,Panamera
5350,1,180,1.4,1,2,16,,,,,yes,2007,Astra G
42741.621,0,0,2.2,2,0,12,,,,,yes,2016,Sorento
16500,1,123,1.8,1,2,7,,,,,yes,2010,Passat B6
6700,1,80,1.5,1,2,17,,,,,yes,2011,Aveo
111999,0,0,3,2,0,1,,,,,yes,2016,GLS 350
3700,3,273,2.5,2,2,8,,,,,no,2003,A6
0,0,13,3,2,0,13,,,,,yes,2015,Macan
5900,5,199,1.6,1,2,26,,,,,yes,2002,147
75500,0,50,4.6,1,0,14,,,,,yes,2015,Land Cruiser 200
55000,0,40,4.6,1,0,1,,,,,yes,2013,ML 500
9800,1,148,2,0,2,11,,,,,yes,2008,Lancer X
6100,3,350,2,1,0,24,,,,,yes,2005,Forester
5500,1,121,1.5,1,2,17,,,,,yes,2006,Aveo
7799,1,199,1.6,0,2,17,,,,,yes,2012,Aveo
13900,5,63,1.8,1,2,3,,,,,yes,2013,Civic
14500,0,106,2.5,2,0,12,,,,,yes,2008,Sorento
8000,4,62,1,1,1,27,,,,,yes,2011,Fortwo
14700,0,61,1.5,2,2,4,,,,,yes,2013,Duster
135555,0,0,4.5,2,0,20,,,,,yes,2016,LX 450
14500,0,102,2.2,2,0,15,,,,,yes,2008,Santa FE
4100,5,60,1.6,1,2,25,,,,,yes,2013,2114
54900,1,64,4.8,1,0,13,,,,,yes,2011,Panamera
30500,1,73,2,1,1,5,,,,,yes,2013,520
10700,1,195,3.2,1,0,7,,,,,yes,2007,Passat B6
17700,5,21,0.11,4,2,2,,,,,yes,2014,Leaf
8700,3,123,1.5,2,2,4,,,,,yes,2009,Megane
6200,1,170,NA,4,2,11,,,,,yes,2005,Lancer
13200,1,145,2,0,2,3,,,,,yes,2008,Accord
59900,0,90,4.5,2,0,14,,,,,yes,2012,Land Cruiser 200
12099,1,109,1.6,0,2,0,,,,,yes,2011,Focus
7300,2,240,1.9,2,2,7,,,,,yes,2005,Caddy пасс.
24800,4,160,3,2,1,1,,,,,yes,2007,S 320
80000,1,27,NA,4,2,23,,,,,yes,2013,Model S
12300,5,71,1.6,0,2,0,,,,,yes,2013,Fiesta
17000,0,134,2,1,0,24,,,,,yes,2011,Forester
58000,5,52,NA,4,2,23,,,,,yes,2013,Model S
102999,0,39,5,1,0,6,,,,,yes,2014,Range 48
8500,2,135,1.6,2,2,28,,,,,yes,2009,Partner пасс.
29999,0,52,2.2,2,0,15,,,,,yes,2014,Santa FE
11500,0,101,2,1,0,29,,,,,yes,2008,Grand Vitara
20500,0,98,2,1,0,12,,,,,yes,2011,Sportage
89999,0,17,4.4,1,0,5,,,,,yes,2015,X6 M
7800,3,120,1.5,2,2,4,,,,,yes,2008,Megane
16500,1,115,3,1,1,20,,,,,yes,2007,GS 300
10600,3,220,2.5,4,2,4,,,,,yes,2006,Trafic пасс.
37800,4,126,3,2,0,8,,,,,yes,2010,Q7
8800,2,93,1.6,2,2,7,,,,,yes,2012,Caddy груз.
8500,1,284,1.9,0,1,5,,,,,yes,2000,316
25900,0,97,4,1,0,14,,,,,yes,2009,Land Cruiser Prado
95000,0,60,5,1,0,6,,,,,yes,2014,Range 48
36000,0,940,NA,4,,14,,,,,yes,2009,Land Cruiser 200
8000,0,210,2,1,0,24,,,,,yes,2005,Forester
2550,1,280,1.6,1,1,5,,,,,no,2000,316
18500,5,9,NA,4,2,2,,,,,yes,2015,Leaf
20999,5,12,NA,4,2,2,,,,,yes,2015,Leaf
14999,5,31,1,4,2,2,,,,,yes,2013,Leaf
12600,1,123,3.2,1,1,1,,,,,yes,2000,S 320
85500,1,1,NA,4,0,23,,,,,yes,2016,Model S
18456.1611,0,1,1.5,2,0,4,,,,,yes,2016,Duster
8200,1,280,2.4,0,1,1,,,,,yes,1997,E-Class
12500,1,89,2,1,2,21,,,,,yes,2009,6
8300,3,135,2,1,2,28,,,,,yes,2008,307
4150,1,220,2.5,2,2,8,,,,,no,1999,A8
46000,1,170,4.2,2,0,8,,,,,yes,2011,A8
28700,0,100,3.5,1,0,14,,,,,yes,2012,Highlander
3499,5,104,0.8,1,2,19,,,,,yes,2008,Matiz
7650,1,119,1.8,0,2,18,,,,,yes,2006,Octavia Tour
2411,1,240,1.6,4,2,8,,,,,yes,1987,80
8900,2,272,1.9,2,2,7,,,,,yes,2005,Caddy пасс.
11500,3,230,1.5,2,2,4,,,,,yes,2012,Megane
4500,2,380,2,2,2,7,,,,,yes,2004,Caddy груз.
9600,1,98,1.4,1,2,15,,,,,yes,2011,Accent
5900,5,138,1.4,1,2,0,,,,,yes,2008,Fiesta
9900,1,275,2.2,4,1,1,,,,,yes,2005,E-Class
15300,0,130,2,1,0,14,,,,,yes,2008,Rav 4
9300,5,97,1.2,1,2,2,,,,,yes,2010,Micra
12499,2,78,2,2,2,4,,,,,yes,2012,Trafic пасс.
15000,0,46,1.6,1,2,2,,,,,yes,2013,Juke
37700,0,47,5.7,0,0,14,,,,,yes,2009,Sequoia
8000,1,330,NA,2,1,5,,,,,yes,1997,525
6500,4,110,1,1,1,27,,,,,yes,2007,Fortwo
9650,0,81,2,1,0,29,,,,,yes,2006,Grand Vitara
7000,1,185,2.8,0,0,7,,,,,yes,2004,Passat B5
13200,1,100,1.8,1,2,3,,,,,yes,2012,Civic
13400,1,38,1.8,1,2,3,,,,,yes,2012,Civic
6999,0,203,2,1,0,29,,,,,yes,2002,Grand Vitara
34600,0,163,5,1,0,5,,,,,yes,2011,X5 M
1300,1,250,NA,0,2,8,,,,,no,1994,80
23999,0,14,2.2,2,0,12,,,,,yes,2012,Sorento
1600,1,280,2.3,2,1,16,,,,,yes,1987,Omega
35900,0,254,5,0,0,1,,,,,yes,2004,G 500
16400,0,87,2.5,1,0,0,,,,,yes,2010,Kuga
8900,1,138,1.4,1,2,15,,,,,yes,2011,Accent
38900,0,0,2,2,0,24,,,,,yes,2016,Forester
13200,2,230,2,2,2,4,,,,,yes,2009,Trafic пасс.
26500,0,21,2,1,0,14,,,,,yes,2013,Rav 4
7800,2,282,2.5,2,2,7,,,,,yes,2000,T4 (Transporter) пасс.
109999,0,1,3,2,0,1,,,,,yes,2016,GLS 350
24900,1,163,4.2,2,0,8,,,,,yes,2008,A8
27500,0,150,4.7,0,0,20,,,,,yes,2005,LX 470
0,3,217,2,2,0,7,,,,,no,2008,Passat B6
3950,5,36,0.8,1,2,19,,,,,yes,2011,Matiz
58000,1,8,NA,4,2,23,,,,,yes,2013,Model S
63500,0,33,3,1,0,5,,,,,yes,2015,X5
57800,0,60,5.7,1,0,20,,,,,yes,2011,LX 570
6800,2,131,1.5,2,2,4,,,,,yes,2013,Kangoo груз.
59000,1,30,NA,4,1,23,,,,,yes,2013,Model S
19000,0,70,1.6,1,2,2,,,,,yes,2012,Qashqai
14700,1,131,3.5,0,2,14,,,,,yes,2007,Camry
10700,4,23,1,1,,27,,,,,yes,2014,Fortwo
41900,1,95,6.2,1,,1,,,,,yes,2011,S 500
6000,1,350,3,1,1,20,,,,,yes,1996,GS 300
23000,4,211,4,0,0,14,,,,,yes,2007,Land Cruiser Prado
2700,4,450,2,0,2,21,,,,,yes,1989,626
6200,5,121,1.4,0,2,15,,,,,yes,2008,Getz
28900,0,20,2.5,1,0,14,,,,,yes,2013,Rav 4
19100,1,4,1.6,4,2,7,,,,,yes,2016,Jetta
1500,1,270,2.5,2,1,5,,,,,no,1992,525
5400,3,181,1.5,2,2,4,,,,,no,2010,Megane
15700,5,22,0.11,4,2,2,,,,,yes,2013,Leaf
26900,0,170,3,2,0,5,,,,,yes,2008,X5
10600,2,120,2,2,2,7,,,,,yes,2007,Touran
16777,1,77,2.4,1,2,3,,,,,yes,2011,Accord
102999,0,39,5,1,0,6,,,,,yes,2014,Range 48
16900,0,126,3,0,0,11,,,,,yes,2008,Pajero Wagon
8500,4,265,2.8,0,1,5,,,,,yes,1998,328
17800,2,162,1.8,2,2,1,,,,,yes,2012,B 180
20300,1,198,1.8,0,1,1,,,,,yes,2011,E-Class
7200,1,83,1.6,4,2,11,,,,,yes,2007,Lancer
8599,2,169,1.6,2,2,7,,,,,yes,2011,Caddy груз.
6400,4,220,2.5,1,1,5,,,,,yes,1997,323
6450,5,150,1.4,1,2,0,,,,,yes,2007,Fiesta
3600,1,374,2.5,2,0,8,,,,,no,2001,A8
5999,1,121,1.6,1,2,17,,,,,yes,2008,Lacetti
25000,1,0,2,4,2,21,,,,,yes,2016,6
6450,5,149,1.4,1,2,0,,,,,yes,2007,Fiesta
47500,0,63,4.4,2,0,6,,,,,yes,2012,Range 48
6450,5,150,1.4,1,2,0,,,,,yes,2007,Fiesta
10500,1,125,2,1,0,24,,,,,yes,2007,Legacy
28900,1,78,2,1,1,5,,,,,yes,2012,528
15500,0,165,2.7,0,0,14,,,,,yes,2005,Land Cruiser Prado
15656.589,0,0,1.6,1,2,2,,,,,yes,2016,Juke
6700,1,335,2.5,0,1,16,,,,,yes,1998,Omega
159600,1,7,NA,4,1,23,,,,,yes,2016,Model S
6000,1,171,2,1,2,28,,,,,yes,2006,407
6700,1,80,1.8,1,2,2,,,,,yes,2003,Primera
15000,1,147,2.5,4,1,20,,,,,yes,2007,IS 250
16800,0,70,2,1,,2,,,,,yes,2013,Qashqai
99000,0,50,4.4,2,0,6,,,,,yes,2013,Range 48
6999,1,288,3.2,0,1,1,,,,,yes,2001,E-Class
52000,0,70,4.4,2,0,6,,,,,yes,2012,Range 48
60000,4,11,3.8,1,1,13,,,,,yes,2010,911
72700,2,42,2.2,2,0,1,,,,,yes,2014,V 250
4200,1,290,2,1,1,16,,,,,yes,1997,Omega
6800,5,208,2,1,2,21,,,,,yes,2003,6
13500,1,317,5,1,1,1,,,,,yes,2001,S 500
11000,3,210,1.9,2,2,7,,,,,yes,2008,Touran
